STUDENTID	|	SCORE
------------------------------
87100028	|	100
87100001	|	84
87100025	|	84
87100008	|	79
87100005	|	77
87100030	|	77
87100024	|	76
87100002	|	74
87100009	|	74
87100019	|	72
87100018	|	71
87100023	|	69
87100011	|	66
87100006	|	65
87100003	|	63
87100007	|	61
87100010	|	61
87100015	|	59
87100004	|	58
87100014	|	57
87100012	|	56
87100013	|	55
87100022	|	54
87100021	|	52
87100020	|	50
87100027	|	49
87100026	|	48
87100029	|	45
87100017	|	44
87100016	|	13
PASSED EXAM TOTAL 25 PERSON
FAILED EXAM TOTAL 5 PERSON
